Name,Links,Cost,Collections,Cuisines,Timings,num_cuisines,num_collections,avg_rating,rating_std,avg_pictures,avg_reviewer_followers,has_reviews,cost_bucket,cluster,cluster_label,pca_1,pca_2,cluster_label_ordered
Domino's Pizza,https://www.zomato.com/hyderabad/dominos-pizza-4-gachibowli,400.0,,"Fast Food, Pizza",11 AM to 11 PM,2,0,3.09,1.8537158968576133,0.04,51.48275862068966,1,Budget,1,Budget Everyday,2.633311062651376,0.377250994466689,Budget Everyday
Mohammedia Shawarma,https://www.zomato.com/hyderabad/mohammedia-shawarma-gachibowli,150.0,,"Street Food, Arabian",1 PM to 1 AM,2,0,2.99,1.783736856074116,0.04,11.984848484848484,1,Budget,1,Budget Everyday,2.8242354426565557,0.25623708513144206,Budget Everyday
Arena Eleven,https://www.zomato.com/hyderabad/arena-eleven-gachibowli,1600.0,New on Gold,Continental,12 Noon to 12 Midnight,1,1,4.117647058823529,1.1589379857878335,3.2941176470588234,271.19444444444446,1,Premium,0,Mid-Premium / Photogenic,-2.1572740608357157,-1.2972221625751839,Mid-Premium / Photogenic
Cascade - Radisson Hyderabad Hitec City,https://www.zomato.com/hyderabad/cascade-radisson-hyderabad-hitec-city-gachibowli,1800.0,,"North Indian, Italian, Continental, Asian",24 Hours,4,0,4.26,1.0432079506420706,1.55,359.59090909090907,1,Premium,0,Mid-Premium / Photogenic,-2.4252468873615465,-0.5064229642884699,Mid-Premium / Photogenic
Collage - Hyatt Hyderabad Gachibowli,https://www.zomato.com/hyderabad/collage-hyatt-hyderabad-gachibowli-gachibowli,2800.0,Sunday Brunches,"Continental, Italian, North Indian, Chinese, Asian",24 Hours (Mon-Sun),5,1,3.41,1.4449144534462164,1.73,187.6421052631579,1,Premium,0,Mid-Premium / Photogenic,-2.4040770542161836,2.193433893440741,Mid-Premium / Photogenic
Zing's Northeast Kitchen,https://www.zomato.com/hyderabad/zings-northeast-kitchen-gachibowli,550.0,,"North Eastern, Momos","11:30 AM to 4 PM, 7 PM to 11 PM",2,0,3.65,1.402558988838515,1.21,295.03125,1,Mid,1,Budget Everyday,0.6230155996241173,-0.7740454913312457,Budget Everyday
Dunkin' Donuts,https://www.zomato.com/hyderabad/dunkin-donuts-gachibowli,550.0,,"Desserts, Cafe, Beverages, Burger, Fast Food",10 AM to 11 PM,5,0,3.095,1.4047088918018105,0.98,405.02150537634407,1,Mid,1,Budget Everyday,0.49073919969554364,1.3198189899465662,Budget Everyday
Desi Bytes,https://www.zomato.com/hyderabad/desi-bytes-gachibowli,400.0,,"North Indian, Chinese","1 PM to 2 AM (Mon, Wed-Sun), Tue Closed",2,0,2.9,1.6236882817719773,0.1,236.76190476190476,1,Budget,1,Budget Everyday,2.347370450017862,0.13142447926829562,Budget Everyday
Hyderabadi Daawat,https://www.zomato.com/hyderabad/hyderabadi-daawat-1-gachibowli,600.0,Food Hygiene Rated Restaurants in Hyderabad,"Hyderabadi, Chinese, Mughlai",12:30pm to 11:30pm (Mon-Sun),3,1,3.83,1.3930201184853903,2.34,567.1875,1,Mid,0,Mid-Premium / Photogenic,-0.6182279013394795,-0.006605794387971782,Mid-Premium / Photogenic
Zega - Sheraton Hyderabad Hotel,https://www.zomato.com/hyderabad/zega-sheraton-hyderabad-hotel-gachibowli,1750.0,,"Asian, Sushi",12Noon to 2AM (Mon-Sun),2,0,4.45,0.8087276451565163,0.83,351.8414634146341,1,Premium,2,Premium & Curated,-2.1983822893861884,-2.3374068729380997,Premium & Curated
Triptify,https://www.zomato.com/hyderabad/triptify-gachibowli,400.0,,North Indian,11 AM to 11 PM,1,0,3.55,1.5978204852330264,0.14,108.77906976744185,1,Budget,1,Budget Everyday,1.9267041232770588,-1.0676590103855315,Budget Everyday
Chinese Pavilion,https://www.zomato.com/hyderabad/chinese-pavilion-gachibowli,1000.0,,"Chinese, Seafood","12 Noon to 3:30 PM, 7 PM to 11 PM",2,0,3.745,1.122530960631268,2.01,380.9247311827957,1,Upper-Mid,0,Mid-Premium / Photogenic,-0.7507266205298415,-1.113891181176343,Mid-Premium / Photogenic
IndiBlaze,https://www.zomato.com/hyderabad/indiblaze-gachibowli,600.0,,"Fast Food, Salad",11 AM to 11 PM,2,0,3.613080808080808,1.4299462218341992,0.56,171.4923484848485,0,Mid,1,Budget Everyday,0.9372389213207237,-0.7790268227159844,Budget Everyday
Sweet Basket,https://www.zomato.com/hyderabad/sweet-basket-gachibowli,200.0,,"Bakery, Mithai","10 AM to 10 PM (Mon-Thu), 8 AM to 10:30 PM (Fri-Sun)",2,0,3.613080808080808,1.4299462218341992,0.56,171.4923484848485,0,Budget,1,Budget Everyday,1.3068047296883485,-0.9129793432693023,Budget Everyday
Angaara Counts 3,https://www.zomato.com/hyderabad/angaara-counts-3-gachibowli,500.0,,"North Indian, Biryani, Chinese",12 Noon to 11 PM,3,0,3.613080808080808,1.4299462218341992,0.56,171.4923484848485,0,Budget,1,Budget Everyday,0.7798257965117272,-0.28085854477156996,Budget Everyday
Wich Please,https://www.zomato.com/hyderabad/wich-please-1-gachibowli,250.0,,Fast Food,8am to 12:30AM (Mon-Sun),1,0,3.613080808080808,1.4299462218341992,0.56,171.4923484848485,0,Budget,1,Budget Everyday,1.510413580543298,-1.4278916862828817,Budget Everyday
Republic Of Noodles - Lemon Tree Hotel,https://www.zomato.com/hyderabad/republic-of-noodles-lemon-tree-hotel-gachibowli,1700.0,Pan-Asian Delicacies,"Thai, Asian, Chinese, Malaysian","11:30 AM to 3 PM, 7 PM to 12 Midnight",4,1,3.613080808080808,1.4299462218341992,0.56,171.4923484848485,0,Premium,0,Mid-Premium / Photogenic,-0.8620307747251945,0.8726704166595212,Mid-Premium / Photogenic
