Name,Links,Cost,Collections,Cuisines,Timings,num_cuisines,num_collections,avg_rating,rating_std,avg_pictures,avg_reviewer_followers,has_reviews,cost_bucket,cluster,cluster_label,pca_1,pca_2,cluster_label_ordered
Karachi Cafe,https://www.zomato.com/hyderabad/karachi-cafe-gachibowli,600.0,,"Cafe, Desserts, Fast Food",10 AM to 10 PM,3,0,3.715,1.193955737466973,1.39,241.25555555555556,1,Mid,0,Mid-Premium / Photogenic,-0.2059038854104427,-0.655550728466188,Mid-Premium / Photogenic
The Foodie Monster Kitchen,https://www.zomato.com/hyderabad/the-foodie-monster-kitchen-gachibowli,500.0,"Great Breakfasts, Late Night Restaurants, Best shawarmas","American, Wraps, Desserts",7 AM to 1 AM,3,3,3.58,1.3793571918202563,0.24,191.2560975609756,1,Budget,1,Budget Everyday,-0.0007534661104399355,0.26065859738237457,Budget Everyday
La La Land - Bar & Kitchen,https://www.zomato.com/hyderabad/la-la-land-bar-kitchen-gachibowli,1000.0,"Great Buffets, Trending This Week","Finger Food, North Indian, Kebab, Chinese",12 Noon to 11:30 PM,4,2,3.19,1.4333333333333333,0.77,147.42268041237114,1,Upper-Mid,0,Mid-Premium / Photogenic,-0.1873164996273894,1.3067868185968905,Mid-Premium / Photogenic
Owm Nom Nom,https://www.zomato.com/hyderabad/owm-nom-nom-gachibowli,900.0,,"Chinese, Biryani, Andhra, North Indian",12Noon to 11:30PM (Mon-Sun),4,0,3.29,1.67751018001096,0.09,81.37878787878788,1,Upper-Mid,1,Budget Everyday,1.1296880753400362,1.088207084879885,Budget Everyday
Ulavacharu,https://www.zomato.com/hyderabad/ulavacharu-gachibowli,1400.0,"Function Venues, Regional Favorites","Andhra, North Indian, Chinese",12 Noon to 11:30 PM,3,2,3.225,1.4913470962911892,1.02,286.20454545454544,1,Premium,0,Mid-Premium / Photogenic,-0.33472116009761216,1.0281369182646642,Mid-Premium / Photogenic
Shanghai Chef 2,https://www.zomato.com/hyderabad/shanghai-chef-2-gachibowli,800.0,Pan-Asian Delicacies,"Chinese, Thai, Indonesian, Asian",12 Noon to 11 PM,4,1,3.06,1.5362291495737217,1.27,223.11363636363637,1,Upper-Mid,0,Mid-Premium / Photogenic,0.3865463085743325,1.4251253514631488,Mid-Premium / Photogenic
Udipi's Upahar,https://www.zomato.com/hyderabad/udipis-upahar-gachibowli,500.0,,"South Indian, North Indian, Chinese",6 AM to 10:30 PM,3,0,4.03,1.2984450685183397,0.17,184.42105263157896,1,Budget,1,Budget Everyday,0.3065404078222878,-0.9980221925430828,Budget Everyday
Mathura Vilas,https://www.zomato.com/hyderabad/mathura-vilas-gachibowli,500.0,"Veggie Friendly, Terrific Thalis","South Indian, North Indian, Chinese","11:30 AM to 3:30 PM, 6:45 PM to 11:30 PM",3,2,2.82,1.5464524407543714,0.31,89.33333333333333,1,Budget,1,Budget Everyday,1.2774871559032988,1.1015987234147526,Budget Everyday
Gal Punjab Di,https://www.zomato.com/hyderabad/gal-punjab-di-gachibowli,800.0,,"North Indian, Continental","11:55 AM to 4 PM, 7 PM to 11:15 PM",2,0,3.61,1.2135181344447488,0.97,181.91011235955057,1,Upper-Mid,1,Budget Everyday,0.1710071089385186,-1.0527072337571597,Budget Everyday
Hitech Bawarchi Food Zone,https://www.zomato.com/hyderabad/hitech-bawarchi-food-zone-gachibowli,500.0,,"Biryani, North Indian, Chinese",12 Noon to 11 PM,3,0,3.05,1.7602513594611564,0.01,236.1864406779661,1,Budget,1,Budget Everyday,2.163264121193934,0.7975957582776225,Budget Everyday
Biryanis And More,https://www.zomato.com/hyderabad/biryanis-and-more-gachibowli,500.0,,"North Indian, Biryani, Chinese",11 AM to 11 PM,3,0,3.74,1.3455500921574977,0.8,128.4578313253012,1,Budget,1,Budget Everyday,0.4001754214888982,-0.5233702981524674,Budget Everyday
Diners Pavilion,https://www.zomato.com/hyderabad/diners-pavilion-gachibowli,1200.0,"Great Buffets, Live Sports Screenings","Chinese, Continental, Italian","12noon to 4:30pm, 6:30pm to 11:30pm (Mon, Tue, Wed, Fri, Sat), Closed (Thu),12noon to 12midnight (Sun)",3,2,3.32,1.4694189052791988,0.78,237.20212765957447,1,Upper-Mid,0,Mid-Premium / Photogenic,-0.17879080787881999,0.787623220885273,Mid-Premium / Photogenic
Asian Meal Box,https://www.zomato.com/hyderabad/asian-meal-box-gachibowli,200.0,,Asian,"12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)",1,0,2.58,1.5516690264604651,0.17,125.64935064935065,1,Budget,1,Budget Everyday,2.9130908417319596,-0.28512182822415416,Budget Everyday
Cafe Eclat,https://www.zomato.com/hyderabad/cafe-eclat-gachibowli,700.0,Sneak Peek Hyderabad,"Cafe, Bakery",8 AM to 11:30 PM,2,1,3.59,1.2500101009692892,1.31,233.42268041237114,1,Mid,0,Mid-Premium / Photogenic,-0.075313675005203,-0.7201367553516338,Mid-Premium / Photogenic
Feast - Sheraton Hyderabad Hotel,https://www.zomato.com/hyderabad/feast-sheraton-hyderabad-hotel-gachibowli,2500.0,"Sunday Brunches, Great Breakfasts, Function Venues, Ramzan Mubarak","Modern Indian, Asian, Continental, Italian","6:30am to 10:30am, 12:30pm to 3pm, 7pm to 11pm (Mon),6:30am to 10:30am, 12:30pm to 3pm, 7:30pm to 11pm (Tue-Sat),6:30am to 10:30am, 12:30pm to 3:30pm, 7pm to 11pm (Sun)",4,4,4.22,1.2274635093014643,1.58,234.6,1,Premium,2,Premium & Curated,-3.8305524625991496,1.0028607167927193,Premium & Curated
Being Hungry,https://www.zomato.com/hyderabad/being-hungry-gachibowli,450.0,,"North Indian, Chinese","12 Noon to 3 PM, 7 PM to 11:30 PM",2,0,3.66,1.5905021124465597,0.03,90.12698412698413,1,Budget,1,Budget Everyday,1.5608749187115385,-0.6574736029197926,Budget Everyday
Tempteys,https://www.zomato.com/hyderabad/tempteys-gachibowli,350.0,Best Milkshakes,"Desserts, Beverages",11:30 AM to 1 AM,2,1,3.85,1.4310764472870756,1.13,319.0120481927711,1,Budget,1,Budget Everyday,0.42640847030239754,-0.7723624974183879,Budget Everyday
KS Bakers,https://www.zomato.com/hyderabad/ks-bakers-gachibowli,200.0,,"Bakery, Desserts, Fast Food",9 AM to 10 PM,3,0,3.965,1.202386095741432,0.68,172.01136363636363,1,Budget,1,Budget Everyday,0.24653121884780393,-1.133287421209714,Budget Everyday
PourHouse7,https://www.zomato.com/hyderabad/pourhouse7-gachibowli,1200.0,"Happy Hours, Top Drinking Destinations, Corporate Favorites","North Indian, Continental, Chinese, Italian","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",4,3,3.86,1.3485495387956123,3.56,233.38,1,Upper-Mid,0,Mid-Premium / Photogenic,-2.615848386853164,1.2577786927713024,Mid-Premium / Photogenic
Prism Club & Kitchen,https://www.zomato.com/hyderabad/prism-club-kitchen-gachibowli,1200.0,"Sneak Peek Hyderabad, Best Bars & Pubs, Gigs and Events","Kebab, Continental, Italian, North Indian",5pm to 12midnight (Mon-Sun),4,3,4.215,1.2816793749616244,0.51,182.22448979591837,1,Upper-Mid,2,Premium & Curated,-1.7873059814593009,0.27553251116551647,Premium & Curated
Shree Santosh Dhaba Family Restaurant,https://www.zomato.com/hyderabad/shree-santosh-dhaba-family-restaurant-gachibowli,500.0,,"North Indian, Chinese, Fast Food",11 AM to 11:30 PM,3,0,2.83,1.6456554372595191,0.02,8.264705882352942,1,Budget,1,Budget Everyday,2.145755948266575,0.7922739155093261,Budget Everyday
Dine O China,https://www.zomato.com/hyderabad/dine-o-china-gachibowli,850.0,,"Chinese, Asian, Momos",11:30AM to 11PM (Mon-Sun),3,0,3.37,1.5417096636100733,0.77,135.34939759036143,1,Upper-Mid,1,Budget Everyday,0.8064478717481453,0.31846707187796114,Budget Everyday
Hyderabad Chefs,https://www.zomato.com/hyderabad/hyderabad-chefs-gachibowli,600.0,,"North Indian, Chinese",12 Noon to 10:30 PM,2,0,3.81,1.5155423738281573,0.02,58.676923076923075,1,Mid,1,Budget Everyday,1.144507401559681,-0.8960384840010716,Budget Everyday
Komatose - Holiday Inn Express & Suites,https://www.zomato.com/hyderabad/komatose-holiday-inn-express-suites-gachibowli,1500.0,"Happy Hours, Top-Rated, Gold Curated","North Indian, Chinese, Japanese, Sushi",1 PM to 11 PM,4,3,3.69,1.3758009604693124,0.97,491.79787234042556,1,Premium,0,Mid-Premium / Photogenic,-1.5912670752897868,1.1375746639680264,Mid-Premium / Photogenic
Aromas@11SIX,https://www.zomato.com/hyderabad/aromas11six-gachibowli,750.0,,"North Indian, Chinese, Mughlai, Biryani",11:30 AM to 12 Midnight,4,0,3.46,1.533596815306811,0.05,145.09411764705882,1,Upper-Mid,1,Budget Everyday,0.8534504264822826,0.5934332188914421,Budget Everyday
Yum Yum Tree - The Arabian Food Court,https://www.zomato.com/hyderabad/yum-yum-tree-the-arabian-food-court-gachibowli,1200.0,Food Hygiene Rated Restaurants in Hyderabad,"North Indian, Hyderabadi",12 Noon to 12 Midnight,2,1,3.56,1.4093482984211625,1.29,131.8452380952381,1,Upper-Mid,0,Mid-Premium / Photogenic,-0.19801108153744304,-0.2234279302488142,Mid-Premium / Photogenic
The Tilt Bar Republic,https://www.zomato.com/thetiltbarrepublic,1500.0,"Gigs and Events, Corporate Favorites","North Indian, Continental, Italian",12noon to 12midnight (Mon-Sun),3,2,3.845,1.2054065913645282,1.58,448.1489361702128,1,Premium,0,Mid-Premium / Photogenic,-1.7833497476057187,0.014724456170083174,Mid-Premium / Photogenic
